num_of_agents,num_of_items,agent_capacity,supply_ratio,num_of_popular_items,mean_num_of_favorite_items,favorite_item_value_bounds,nonfavorite_item_value_bounds,algorithm,random_seed,utilitarian_value,egalitarian_value,max_envy,mean_envy,max_deficit,mean_deficit,num_with_top_1,num_with_top_2,num_with_top_3,runtime
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",utilitarian_matching,0,91.01465052092666,75.58441558441558,19.61325966850829,1.6565634869489474,0,0.0,85,87,95,0.1514518000185489
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",utilitarian_matching,1,90.46266823624111,72.77777777777777,13.63636363636364,1.5098292614546187,0,0.0,83,84,91,0.1224771999986842
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",utilitarian_matching,2,90.6613935562088,74.71264367816092,15.34772182254197,1.1566266260879317,0,0.0,85,86,95,0.1108305999659933
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",utilitarian_matching,3,90.54056073413524,73.48066298342542,23.180592991913755,1.534518839391132,0,0.0,88,88,93,0.1118734999909065
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",utilitarian_matching,4,90.90706955039724,77.92553191489363,17.72486772486772,1.2599697463498043,0,0.0,86,86,93,0.1244885999476537
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,0,90.6980094489252,73.91304347826086,4.926108374384242,0.2530781252975517,0,0.0,100,100,100,0.2137303000199608
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,1,90.05898169298018,75.75057736720554,7.653061224489789,0.2810958493639138,0,0.0,98,100,100,0.2447854000492952
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,2,90.31369025023268,76.63755458515283,4.092071611253203,0.2459238100682138,0,0.0,100,100,100,0.2104355000192299
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,3,90.17477726567944,76.06837606837607,6.43564356435644,0.2710227691975734,0,0.0,100,100,100,0.2036725000361912
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,4,90.52673942284926,78.47222222222221,11.420612813370468,0.5994824364690353,0,0.0,100,100,100,0.2491325999726541
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,0,90.6980094489252,73.91304347826086,4.926108374384242,0.2530781252975517,0,0.0,100,100,100,0.2189010999863967
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,1,90.05898169298018,75.75057736720554,7.653061224489789,0.2810958493639138,0,0.0,98,100,100,0.2504060000064783
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,2,90.31369025023268,76.63755458515283,4.092071611253203,0.2459238100682138,0,0.0,100,100,100,0.2245599000016227
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,3,90.17477726567944,76.06837606837607,6.43564356435644,0.2710227691975734,0,0.0,100,100,100,0.2143795999581925
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,4,90.52673942284926,78.47222222222221,11.420612813370468,0.5994824364690353,0,0.0,100,100,100,0.2530041999998502
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",serial_dictatorship,0,83.70219236785286,53.08056872037915,42.35033259423504,10.67161594761592,0,0.0,45,48,63,0.0275035999948158
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",serial_dictatorship,1,83.90355055874035,52.23880597014925,40.79601990049752,10.660994549987068,0,0.0,48,51,66,0.0258961000363342
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",serial_dictatorship,2,82.53271441408542,55.1578947368421,39.05882352941177,11.374449832178064,0,0.0,41,43,67,0.0265430000144988
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",serial_dictatorship,3,83.01249913276799,53.81165919282511,36.98630136986301,10.92597104166576,0,0.0,43,49,58,0.0253140999702736
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",serial_dictatorship,4,83.80252722037038,47.18875502008032,47.79116465863454,10.533491041455784,0,0.0,44,47,68,0.0259201999870128
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",round_robin,0,89.15649266866657,70.28824833702882,13.525498891352555,0.7818296366060019,0,0.0,100,100,100,0.0261597000062465
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",round_robin,1,88.88303105505892,71.14427860696517,11.18421052631578,1.063637250252507,0,0.0,97,100,100,0.0271812999853864
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",round_robin,2,89.30765437914384,75.52941176470588,13.17647058823529,0.6264500383101366,0,0.0,100,100,100,0.0255386999924667
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",round_robin,3,88.53788558078662,72.16699801192843,8.401084010840108,0.7485581122268526,0,0.0,100,100,100,0.0270665999851189
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",round_robin,4,89.04735769152556,68.07228915662651,8.941176470588218,0.9126768724197816,0,0.0,100,100,100,0.0264254999929107
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",bidirectional_round_robin,0,89.26931761185811,72.5609756097561,12.732095490716176,0.7117007321471724,0,0.0,100,100,100,0.0271814999869093
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",bidirectional_round_robin,1,88.20839952001323,71.08655616942909,8.62944162436547,0.4132754336966214,0,0.0,97,100,100,0.0258696000091731
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",bidirectional_round_robin,2,89.13725379057459,71.96467991169978,10.070257611241216,0.6289193509417292,0,0.0,100,100,100,0.0286298000137321
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",bidirectional_round_robin,3,88.8797385823348,71.17117117117117,13.8888888888889,0.7201334070884772,0,0.0,100,100,100,0.0274061000091023
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",bidirectional_round_robin,4,88.84342436660043,71.54989384288747,17.15686274509804,1.1767772143741868,0,0.0,100,100,100,0.0274348999955691
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",almost_egalitarian_without_donation,0,90.54216632239007,73.00884955752213,16.577540106951872,1.1590061364473878,0,0.0,88,92,98,3.7394060000078753
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",almost_egalitarian_without_donation,1,89.86473318137267,73.67021276595744,11.403508771929822,0.6740777679349628,0,0.0,90,93,97,3.787479799997527
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",almost_egalitarian_without_donation,2,90.20987374872726,75.69444444444444,8.101851851851848,0.3674809345952811,0,0.0,90,95,99,3.9320842000306575
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",almost_egalitarian_without_donation,3,89.79454086193027,75.40106951871658,10.864197530864203,0.9372554750886838,0,0.0,91,93,96,4.033867500023916
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",almost_egalitarian_without_donation,4,90.33335646759616,74.64454976303317,17.77251184834124,1.230799674015448,0,0.0,89,91,99,3.873975900001824
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",almost_egalitarian_with_donation,0,90.5158344536062,73.00884955752213,13.69863013698631,0.7877438080580994,0,0.0,88,93,98,3.719566699990537
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",almost_egalitarian_with_donation,1,89.89837621296641,73.67021276595744,9.308510638297877,0.4677376802436139,0,0.0,91,96,99,3.862591000040993
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",almost_egalitarian_with_donation,2,90.21270189717154,75.69444444444444,10.138248847926263,0.5865806218789679,0,0.0,90,94,99,3.759584899991751
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",almost_egalitarian_with_donation,3,90.03709402675767,75.40106951871658,19.58456973293769,1.0587800236045095,0,0.0,93,93,97,3.852714599983301
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",almost_egalitarian_with_donation,4,90.48120525785868,74.64454976303317,17.77251184834124,1.1343379792353572,0,0.0,86,90,99,3.8788499999791375
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",utilitarian_matching,0,83.08298966228597,58.65384615384615,21.173469387755105,5.175516463444387,0,0.0,80,82,82,0.1166189999785274
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",utilitarian_matching,1,82.35585998181666,60.31331592689296,27.61692650334076,4.585563996121624,0,0.0,77,78,78,0.11475009995047
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",utilitarian_matching,2,81.94004354019924,61.11111111111112,27.34375,3.6760620266941095,0,0.0,83,85,85,0.1146198999485932
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",utilitarian_matching,3,82.10257812259891,64.45012787723785,22.777777777777786,4.578555699395566,0,0.0,82,84,84,0.1146039000013843
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",utilitarian_matching,4,82.92051945810621,57.24815724815725,24.07862407862408,4.505139273857865,0,0.0,84,85,85,0.1197324999957345
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,0,82.75544841126808,68.84875846501129,10.165484633569733,0.8361502118594166,0,0.0,100,100,100,0.2191331000067293
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,1,82.06030563121962,64.02116402116403,7.972665148063783,0.9735110771028028,0,0.0,100,100,100,0.2201512000174261
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,2,81.67980528731563,68.52678571428571,11.750599520383702,1.1928147503335425,0,0.0,100,100,100,0.2197021999745629
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,3,81.9824332976547,70.09345794392523,8.899297423887589,0.9803620837427752,0,0.0,100,100,100,0.2139797999989241
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,4,82.47235996309924,67.77251184834124,9.336609336609342,0.9647150399066298,0,0.0,100,100,100,0.210290300019551
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,0,82.75544841126808,68.84875846501129,10.165484633569733,0.8361502118594166,0,0.0,100,100,100,0.2182878000312484
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,1,82.06030563121962,64.02116402116403,7.972665148063783,0.9735110771028028,0,0.0,100,100,100,0.2220152000081725
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,2,81.67980528731563,68.52678571428571,11.750599520383702,1.1928147503335425,0,0.0,100,100,100,0.2796943000284955
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,3,81.9824332976547,70.09345794392523,8.899297423887589,0.9803620837427752,0,0.0,100,100,100,0.2226026999996975
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,4,82.47235996309924,67.77251184834124,9.336609336609342,0.9647150399066298,0,0.0,100,100,100,0.2588414999772794
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",serial_dictatorship,0,75.19367524606196,44.534412955465584,55.06072874493927,22.019844476411198,0,0.0,34,34,34,0.0297281000530347
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",serial_dictatorship,1,75.52461686808678,46.08294930875576,49.32821497120921,20.633468758184005,0,0.0,33,38,39,0.0411250999895855
