num_of_agents,num_of_items,value_noise_ratio,algorithm,random_seed,utilitarian_value,egalitarian_value,max_envy,mean_envy,max_deficit,mean_deficit,num_with_top_1,num_with_top_2,num_with_top_3,runtime
100,25,0.0,utilitarian_matching,0,92.78004706316922,78.35820895522389,18.159203980099505,3.511062918513272,0,0.0,95,96,98,0.1282856999896466
100,25,0.0,utilitarian_matching,1,96.62781526384444,89.13649025069638,7.692307692307708,1.4158763897864537,0,0.0,99,99,100,0.1028086000005714
100,25,0.0,utilitarian_matching,2,88.47493309728152,74.70449172576832,24.822695035460995,7.974309516866203,0,0.0,97,99,100,0.0954768999945372
100,25,0.0,utilitarian_matching,3,94.85794375085108,85.74821852731591,9.29095354523227,1.6180868576186194,0,0.0,99,100,100,0.1039158999919891
100,25,0.0,utilitarian_matching,4,84.90142174586227,67.46203904555314,26.03036876355749,7.826729095822388,0,0.0,96,99,100,0.0975907999672927
100,25,0.0,iterated_maximum_matching_unadjusted,0,92.1210087345653,84.78747203579418,8.133971291866033,0.9831724270971572,0,0.0,100,100,100,0.2770000000018626
100,25,0.0,iterated_maximum_matching_unadjusted,1,96.13249690510447,88.91566265060241,6.349206349206355,0.376732181386319,0,0.0,100,100,100,0.281631899997592
100,25,0.0,iterated_maximum_matching_unadjusted,2,87.86577516033768,77.32181425485962,8.101851851851848,0.8359899970475649,0,0.0,100,100,100,0.2638367000035941
100,25,0.0,iterated_maximum_matching_unadjusted,3,94.27122128170596,86.06194690265487,6.188118811881182,0.6439727107552984,0,0.0,100,100,100,0.2330590999918058
100,25,0.0,iterated_maximum_matching_unadjusted,4,84.18565602445611,75.40650406504065,9.147609147609144,1.4767523262016824,0,0.0,100,100,100,0.2227160999900661
100,25,0.0,iterated_maximum_matching_adjusted,0,92.1210087345653,84.78747203579418,8.133971291866033,0.9831724270971572,0,0.0,100,100,100,0.2982914000167511
100,25,0.0,iterated_maximum_matching_adjusted,1,96.13249690510447,88.91566265060241,6.349206349206355,0.376732181386319,0,0.0,100,100,100,0.2470885000075213
100,25,0.0,iterated_maximum_matching_adjusted,2,87.86577516033768,77.32181425485962,8.101851851851848,0.8359899970475649,0,0.0,100,100,100,0.2765333999996073
100,25,0.0,iterated_maximum_matching_adjusted,3,94.27122128170596,86.06194690265487,6.188118811881182,0.6439727107552984,0,0.0,100,100,100,0.2410704999929294
100,25,0.0,iterated_maximum_matching_adjusted,4,84.18565602445611,75.40650406504065,9.147609147609144,1.4767523262016824,0,0.0,100,100,100,0.250207600009162
100,25,0.0,serial_dictatorship,0,84.65567035355427,47.55244755244755,52.44755244755245,14.588947039354023,0,0.0,52,58,68,0.0206438000313937
100,25,0.0,serial_dictatorship,1,90.50337255773574,50.60240963855421,49.01960784313726,8.686401225256287,0,0.0,68,73,78,0.0207310999976471
100,25,0.0,serial_dictatorship,2,80.36306763871136,36.55030800821355,63.44969199178645,19.193112290643786,0,0.0,52,58,61,0.0216227999771945
100,25,0.0,serial_dictatorship,3,87.56692478529949,47.77777777777778,51.55555555555555,11.626195515598445,0,0.0,62,65,72,0.0205281000235117
100,25,0.0,serial_dictatorship,4,74.39953945782663,31.18712273641851,68.8128772635815,25.46469836614468,0,0.0,43,46,49,0.0205661000218242
100,25,0.0,round_robin,0,91.62870167004922,80.76923076923077,8.920187793427232,1.7279957841994809,0,0.0,100,100,100,0.0208821999840438
100,25,0.0,round_robin,1,95.728313443173,83.82352941176471,9.156626506024097,0.6570013516853369,0,0.0,100,100,100,0.021210900042206
100,25,0.0,round_robin,2,86.87909058650452,68.99383983572895,14.16837782340862,2.495886108378365,0,0.0,100,100,100,0.0207487000152468
100,25,0.0,round_robin,3,93.80224700357344,84.81308411214953,7.943925233644876,0.931070235772782,0,0.0,100,100,100,0.0211820999975316
100,25,0.0,round_robin,4,83.09992171223236,70.93690248565966,17.016806722689083,3.5558290222908675,0,0.0,100,100,100,0.0199706000275909
100,25,0.0,bidirectional_round_robin,0,91.47308520434518,81.45695364238411,7.064017660044144,1.0897388638258851,0,0.0,100,100,100,0.0215305999736301
100,25,0.0,bidirectional_round_robin,1,95.54002261497511,88.86010362694302,7.692307692307693,0.6999389337086415,0,0.0,100,100,100,0.02206920000026
100,25,0.0,bidirectional_round_robin,2,86.77616630701694,76.34408602150538,8.294930875576043,1.662847472872653,0,0.0,100,100,100,0.0214918000274337
100,25,0.0,bidirectional_round_robin,3,93.74586228792089,85.55555555555556,6.637168141592923,0.7139291516783931,0,0.0,100,100,100,0.0206667999736964
100,25,0.0,bidirectional_round_robin,4,82.79161297429428,71.71532846715328,11.909262759924388,1.7230923942839866,0,0.0,100,100,100,0.0195185000193305
100,25,0.0,almost_egalitarian_without_donation,0,92.5488749427493,82.86384976525821,16.43192488262912,2.031246697595084,0,0.0,96,99,100,3.7152397999889217
100,25,0.0,almost_egalitarian_without_donation,1,96.5278851344518,90.10695187165776,6.702412868632706,0.942208774626604,0,0.0,99,100,100,3.5959623000235297
